owner_name,owner_address,owner_city,owner_province,owner_postal_code
Tingting Wei,300 ASSINIBOINE AVE,Winnipeg,Manitoba,R3C0T1
David Jones,1812 PORTAGE AVE,Winnipeg,Manitoba,R3J0G3
William Kang,90 GARRY ST,Winnipeg,Manitoba,R3C4J4
Henry Xu,154 SHERBROOK ST,Winnipeg,Manitoba,R3C2B4
Aditya Elton Douglas,440 DON AVE,Winnipeg,Manitoba,R3L0S4
Tyshawn Johns Sr.,150 OSBORNE ST,Winnipeg,Manitoba,R3L1Y6
Edward Ernser,60 WINDMILL WAY,Winnipeg,Manitoba,R3R3A1
Emily Johnson,1001 GRANT AVE,Winnipeg,Manitoba,R3M1Y3
James Taylor,21 AIKINS ST,Winnipeg,Manitoba,R2W4E2
Ashley Martinez,1948 MAIN ST,Winnipeg,Manitoba,R2V2B6
Ethan Nguyen,694 MCPHILLIPS ST,Winnipeg,Manitoba,R2X2H5
Olivia Brown,1793 PORTAGE AVE,Winnipeg,Manitoba,R3J0E8
Noah Garcia,685 MUNROE AVE,Winnipeg,Manitoba,R2K1J1
Isabella Thompson,122 ROMANCE LANE,Winnipeg,Manitoba,R2C1M5
Liam Martinez,2121 HENDERSON HWY,Winnipeg,Manitoba,R2G1P8
Mia Adams,9 MANDALAY DR,Winnipeg,Manitoba,R2P1T9
Lucas Hernandez,1007 ST MARY'S RD,Winnipeg,Manitoba,R2M3S5
Ava Lewis,2321 GRANT AVE,Winnipeg,Manitoba,R3P0P9
Amelia Wright,160 JOHNSON AVE W,Winnipeg,Manitoba,R2L0H6
Sophia Rodriguez,1103 CORYDON AVE,Winnipeg,Manitoba,R1A1R2
Mike White,543 BALMORAL ST,Winnipeg,Manitoba,R3B1V7
